id,pt,en,es
token_missing_one,"Erro de sintaxe: Espera-se $0, mas encontrou-se $1 na linha:$2, coluna:$3","Syntax error: Expected $0 but found $1 at line:$2, column:$3","Syntax error: Expected $0 but found $1 at line:$2, column:$3"
token_missing_two,"Erro de sintaxe: Esperava-se $0 ou $1 mas encontrou-se $2 na liha:$3, coluna: $4","Syntax error: Expected $0 or $1 but found $2 at line:$3, column: $4","Syntax error: Expected $0 or $1 but found $2 at line:$3, column: $4"
eos_missing,"Falta uma nova linha ou ; na linha: $0, coluna: $1","A new line or a ‘;’ is missing at line: $0, column: $1","A new line or a ‘;’ is missing at line: $0, column: $1"
invalid_type,"$0 na linha: $1, coluna: $2 é um tipo inválido. Os tipos válidos são: $3","$0 at line: $1, column: $2 is a invalid type. The valid types are: $3","$0 at line: $1, column: $2 is a invalid type. The valid types are: $3"
invalid_array_dimension,"A dimensão inválida na linha: $0, coluna: $1. Insira um $2 ou identificador válido do mesmo tipo.","Invalid dimension at line: $0, column: $1. Insert a $2 or a valid identifier of the same type.","Invalid dimension at line: $0, column: $1. Insert a $2 or a valid identifier of the same type."
invalid_array_size,O tamnho do vetor/matriz excede o máximo de 2 na linha $0,The array at line $0 exceeds the maximum size of 2.,The array at line $0 exceeds the maximum size of 2.
extra_lines,Nenhum texto é permitido após '}' em 'programa {...}',No text is allowed after '}' in 'program { … }',No text is allowed after '}' in 'program { … }'
invalid_main_return,A função $0 declarada na linha $2 deve retornar $1.,The function $0 declared at line $2 must return $1.,The function $0 declared at line $2 must return $1.
invalid_var_declaration,"Erro na linha $0: variáveis só podem ser declaradas no corpo principal da função e nas primeiras linhas, antes de qualquer comando.","Error at line $0: Variables can only be declared in the main body of a function and at the first lines, before any command.","Error at line $0: Variables can only be declared in the main body of a function and at the first lines, before any command."
invalid_break_command,Erro na linha $0. O comando $1 não pode ser usado fora de uma estrutura de repetição ou 'escolha...caso',Error at line $0. The command $1 cannot be used outside a loop command or ‘switch ...case’ structure.,Error at line $0. The command $1 cannot be used outside a loop command or ‘switch ...case’ structure.
invalid_terminal,"Não é possível utilizar $0 na expressão da linha: $1, coluna: $2. Tente um valor númerico, variável ou chamada de função.","It is not possible to use $0 in the expression at line: $1, column: $2. Try a numeric value, variable or function call.","It is not possible to use $0 in the expression at line: $1, column: $2. Try a numeric value, variable or function call."
const_not_init,"Erro na linha: $0, coluna: $1. Uma variável declarada como const deve ser inicializada","Error at line: $0, column: $1. A variable declared as const must be initialized.","Error at line: $0, column: $1. A variable declared as const must be initialized."
id_missing,"Esperava-se um identificador, mas encontrou-se $0 na linha: $1, coluna: $2","Expected an identifier but found $0 at line: $1, column: $2.","Expected an identifier but found $0 at line: $1, column: $2."
invalid_id_format,"$0 na linha: $1, coluna: $2 não é um identificador válido. O símbolo '.' não é permitido neste contexto.","$0 at line: $1, column: $2 is not a valid identifier. The symbol '.' is not permitted in this context.","$0 at line: $1, column: $2 is not a valid identifier. The symbol '.' is not permitted in this context."
main_missing,A função principal não foi encontrada,The main function was not found. You need to declare a function of return type void named main.,The main function was not found. You need to declare a function of return type void named main.
invalid_global_var,Erro crítico: Chamada inválida da função initGlobal fora do contexto BASE,Critical Error: Invalid call of the function IVProgProcessor.initGlobal outside the BASE context.,Critical Error: Invalid call of the function IVProgProcessor.initGlobal outside the BASE context.
not_implemented,Erro interno crítico: A função definida pelo sistema $0 não foi implementada.,Critial internal error: The system defined function $0 was not found.,Critial internal error: The system defined function $0 was not found.
function_missing,A função $0 não foi encontrada,The function $0 was not found.,The function $0 was not found.
function_missing_full,"A função $0 na linha: $1, coluna: $2 não foi encontrada","The function $0 at line: $1, column: $2 was not found.","The function $0 at line: $1, column: $2 was not found."
invalid_parameters_size_full,"Erro na linha $0: a quantidade de parâmetros fornecidos à função $1 está incorreta. Esperava-se $2, encontrou-se $3.",Error at line $0: The number of parameters provided to the function $1 is incorrect. It expected $2 but found $3.,Error at line $0: The number of parameters provided to the function $1 is incorrect. It expected $2 but found $3.
invalid_parameters_size,"A quantidade de parâmetros fornecidos à função $0 está incorreta. Esperava-se $1, encontrou-se $2",The number of parameters provided to the function $0 is incorrect. It expected $1 but found $2.,The number of parameters provided to the function $0 is incorrect. It expected $1 but found $2.
invalid_ref_full,A expressão $0 fornecida como parâmetro para a função $1 na linha $2 não é válida para esta função. Use uma variável ou posição de vetor.,The expression $0 provided as a parameter to the function $1 at line $2 is not valid in this context. Use a variable or a position of a vector.,The expression $0 provided as a parameter to the function $1 at line $2 is not valid in this context. Use a variable or a position of a vector.
invalid_ref,A expressão $0 fornecida como parâmetro para a função $1 não é válida para esta função. Use uma variável ou posição de vetor.,The expression $0 provided as a parameter to the function $1 is not valid in this context. Use a variable or a position of a vector.,The expression $0 provided as a parameter to the function $1 is not valid in this context. Use a variable or a position of a vector.
invalid_parameter_type_full,A expressão $0 fornecida como parâmetro para a função $1 na linha $2 não é compatível com o tipo esperado.,The expression $0 provided as a parameter to the function $1 at line $2 is not of the expected type.,The expression $0 provided as a parameter to the function $1 at line $2 is not of the expected type.
invalid_parameter_type,A expressão $0 fornecida como parâmetro para a função $1 não é compatível com o tipo esperado.,The expression $0 provided as a parameter to the function $1 is not of the expected type.,The expression $0 provided as a parameter to the function $1 is not of the expected type.
unknown_command_full,Erro interno crítico: comando desconhecido encontrado na linha $0,Internal error: an unknown command found at line $0.,Internal error: an unknown command found at line $0.
unknown_command,Erro interno crítico: comando desconhecido encontrado!,Internal error: an unknown command found.,Internal error: an unknown command found.
loop_condition_type_full,"Erro na linha: $0, coluna $1: a condição $2 do laço de repetição deve ser do tipo lógico","Error at line: $0, column $1: the condition $2 of the loop must be of type bool (true or false).","Error at line: $0, column $1: the condition $2 of the loop must be of type bool (true or false)."
loop_condition_type,A condição $0 do laço de repetição deve ser do tipo lógico,The condition $0 of the loop must be of type bool (true or false).,The condition $0 of the loop must be of type bool (true or false).
endless_loop_full,Possível laço infinito detectado no seu código. Verifique a linha $0,Possible infinite loop detected in your code. Check line $0.,Possible infinite loop detected in your code. Check line $0.
endless_loop,Possível laço infinito detectado no seu código.,Possible infinite loop detected in your code.,Possible infinite loop detected in your code.
for_condition_type_full,"Erro na linha: $0, coluna $1: a condição de parada $2 do comando para(...) deve ser do tipo lógico","Erro na linha: $0, coluna $1: a condição de parada $2 do comando para(...) deve ser do tipo lógico","Erro na linha: $0, coluna $1: a condição de parada $2 do comando para(...) deve ser do tipo lógico"
for_condition_type,A condição de parada $0 do comando para(...) deve ser do tipo lógico,A condição de parada $0 do comando para(...) deve ser do tipo lógico,A condição de parada $0 do comando para(...) deve ser do tipo lógico
if_condition_type_full,"Erro na linha: $0, coluna $1: a condição $2 do comando se...senao deve ser do tipo lógico","Error at line: $0, column $1: the condition $2 in the if … else command must result in a bool (true or false).","Error at line: $0, column $1: the condition $2 in the if … else command must result in a bool (true or false)."
if_condition_type,A condição $0 do comando se...senao deve ser do tipo lógico,The condition $0 in the if … else command must result in a bool (true or false).,The condition $0 in the if … else command must result in a bool (true or false).
invalid_return_type_full,Erro na linha $0: a expressão não produz um tipo compatível com a função $1. Tipo esperado: $2.,Error at line $0: The expression doest not result in a type compatible with the function $1.  Expected type: $2.,Error at line $0: The expression doest not result in a type compatible with the function $1.  Expected type: $2.
invalid_return_type,A expressão não produz um tipo compatível com a função $0. Tipo esperado: $1.,The expression doest not result in a type compatible with the function $0.  Expected type: $1.,The expression doest not result in a type compatible with the function $0.  Expected type: $1.
invalid_void_return_full,"Erro na linha $0: a função $1 não pode retornar uma expressão vazia, use uma espressão do tipo $2","Error at line $0: The function $1 cannot return an empty expression, use an expression that results in a $2","Error at line $0: The function $1 cannot return an empty expression, use an expression that results in a $2"
invalid_void_return,"A função $0 não pode retornar uma expressão vazia, use uma espressão do tipo $1","The function $0 cannot return an empty expression, use an expression that results in a $1","The function $0 cannot return an empty expression, use an expression that results in a $1"
unexpected_break_command_full,Erro interno crítico: comando pare encontrado fora do contexto de um laço/escolha..caso na linha $0,Critical error at line $0:  a break command was found outside a valid context: loop or switch … case structure.,Critical error at line $0:  a break command was found outside a valid context: loop or switch … case structure.
unexpected_break_command,Erro interno crítico: comando pare encontrado fora do contexto de um laço/escolha..caso,Critical error:  a break command was found outside a valid context: loop or switch … case structure.,Critical error:  a break command was found outside a valid context: loop or switch … case structure.
invalid_dimension,As dimensões de um vetor/matriz devem ser do tipo inteiro,Array (vector or matrix) dimensions must be of type int.,Array (vector or matrix) dimensions must be of type int.
void_in_expression_full,"Erro na linha: $0, coluna: $1: a função $2 não pode ser utilizada em uma expressão pois seu tipo de retorno é vazio","Error at line: $0, column: $1: The function $2 cannot be used inside an expression since its return type is void.","Error at line: $0, column: $1: The function $2 cannot be used inside an expression since its return type is void."
void_in_expression,A função $0 não pode ser utilizada em uma expressão pois seu tipo de retorno é vazio,The function $0 cannot be used inside an expression since its return type is void.,The function $0 cannot be used inside an expression since its return type is void.
invalid_array_access_full,"Identificador $0 na linha: $1, coluna: $2 não se refere a um vetor/matriz válido","Identifier $0 at line: $1, column: $2 does not identify a valid vector or matrix.","Identifier $0 at line: $1, column: $2 does not identify a valid vector or matrix."
invalid_array_access,Identificador $0 não se refere a um vetor/matriz válido,Identifier $0 does not identify a valid vector or matrix.,Identifier $0 does not identify a valid vector or matrix.
invalid_matrix_access_full,"Identificador $0 na linha: $1, coluna: $2 não se refere a uma matriz válida","Identifier $0 at line: $1, column: $2 does not identify a valid matrix.","Identifier $0 at line: $1, column: $2 does not identify a valid matrix."
invalid_matrix_access,Identificador $0 não se refere a uma matriz válida,Identifier $0 does not identify a valid matrix.,Identifier $0 does not identify a valid matrix.
matrix_column_outbounds_full,Erro na linha $0: número de colunas $1 é inválido para a matriz $2 que possui $3 colunas,Error at line $0: The number of columns $1 is invalid for the matrix $2 which has $3 columns.,Error at line $0: The number of columns $1 is invalid for the matrix $2 which has $3 columns.
matrix_column_outbounds,Número de colunas $0 é inválido para a matriz $1 que possui $2 colunas,The number of columns $0 is invalid for the matrix $1 which has $2 columns.,The number of columns $0 is invalid for the matrix $1 which has $2 columns.
matrix_line_outbounds_full,Erro na linha $0: número de linhas $1 é inválido para a matriz $2 que possui $3 linhas,Error at line $0: The number of lines $1 is invalid for matrix $2 which has $3 lines.,Error at line $0: The number of lines $1 is invalid for matrix $2 which has $3 lines.
matrix_line_outbounds,Número de linhas $0 é inválido para a matriz $1 que possui $2 linhas,The number of lines $0 is invalid for matrix $1 which has $2 lines.,The number of lines $0 is invalid for matrix $1 which has $2 lines.
vector_line_outbounds_full,Erro na linha $0: O número de elementos $1 é inválido para a vetor $2 que possui $3 elementos.,Error at line $0: The number of elements $1 is invalid for vector $2 which has $3 elements.,Error at line $0: The number of elements $1 is invalid for vector $2 which has $3 elements.
vector_line_outbounds,O número de elementos $1 é inválido para a vetor $2 que possui $3 elementos.,Error at line $0: The number of elements $1 is invalid for vector $2 which has $3 elements.,Error at line $0: The number of elements $1 is invalid for vector $2 which has $3 elements.
vector_not_matrix_full,Erro na linha $0: $1 não é uma matriz,Error at line $0: $1 is not a matrix.,Error at line $0: $1 is not a matrix.
vector_not_matrix,$0 não é uma matriz,$0 is not a matrix.,$0 is not a matrix.
invalid_infix_op_full,"Erro na linha $0: a expressão $1 é inválida, pois o operador $2 não pode ser aplicado aos tipos $3 e $4",Error at line $0:  The expression $1 is not valid because the operator $2 cannot be applied to the types $3 and $4.,Error at line $0:  The expression $1 is not valid because the operator $2 cannot be applied to the types $3 and $4.
invalid_infix_op,"A expressão $0 é inválida, pois o operador $1 não pode ser aplicado aos tipos $2 e $3",The expression $0 is not valid because the operator $1 cannot be applied to the types $2 and $3.,The expression $0 is not valid because the operator $1 cannot be applied to the types $2 and $3.
invalid_unary_op_full,"Erro na linha $0: a expressão $1 é inválida, pois o operador $2 não pode ser aplicado ao tipo $3",Error at line $0:  The expression $1 is not valid because the operator $2 cannot be applied to the type $3.,Error at line $0:  The expression $1 is not valid because the operator $2 cannot be applied to the type $3.
invalid_unary_op,"A expressão $0 é inválida, pois o operador $1 não pode ser aplicado ao tipo $2",The expression $0 is not valid because the operator $1 cannot be applied to the type $2.,The expression $0 is not valid because the operator $1 cannot be applied to the type $2.
unknown_op,Erro interno crítico: Operação $0 desconhecida,Critical error: Unknown operator $0.,Critical error: Unknown operator $0.
duplicate_function,"A função $0 na linha: $1, coluna: $2 já foi definida anteriormente.","The function $0 at line: $1, column: $2 has already been declared.","The function $0 at line: $1, column: $2 has already been declared."
duplicate_variable,"A variável $0 na linha: $1, coluna: $2 já foi declarada anteriormente.","The variable $0 at line: $1, column: $2 has already been declared.","The variable $0 at line: $1, column: $2 has already been declared."
main_parameters,A função inicio não pode ter parâmetros.,The main function cannot have parameters.,The main function cannot have parameters.
symbol_not_found_full,"A variável $0 na linha: $1, coluna: $2 não foi declarada","The variable $0 at line: $1, column: $2 has not been declared.","The variable $0 at line: $1, column: $2 has not been declared."
symbol_not_found,A variável $0 não foi declarada,The variable $0 has not been declared.,The variable $0 has not been declared.
array_dimension_not_int_full,As dimensões do arranjo (vetor ou matriz) na linha $0 devem ser do tipo inteiro.,The array (vector or matrix) dimensions at line $0 must be of type int.,The array (vector or matrix) dimensions at line $0 must be of type int.
array_dimension_not_int,As dimensões de um arranjo (vetor ou matriz) devem ser do tipo inteiro.,An array (vector or matrix) dimensions must be of type int.,An array (vector or matrix) dimensions must be of type int.
array_dimension_not_positive_full,As dimensões do arranjo (vetor ou matriz) na linha $0 devem ser valores positivos.,The array (vector or matrix) dimensions at line $0 must be positive.,The array (vector or matrix) dimensions at line $0 must be positive.
array_dimension_not_positive,As dimensões de um arranjo (vetor ou matriz) devem ser valores positivos.,An array (vector or matrix) dimensions must be positive.,An array (vector or matrix) dimensions must be positive.
incompatible_types_full,Era esperado um $0 mas a expressão $1 na linha $2 resulta em $3.,It expected $0 but the expression $1 at line $2 results in $3.,It expected $0 but the expression $1 at line $2 results in $3.
incompatible_types,Era esperado um $0 mas a expressão $1 resulta em $2.,It expected $0 but the expression $1 results in $2.,It expected $0 but the expression $1 results in $2.
incompatible_types_array_full,A expressão $0 na linha $2 é incompatível com o tipo $1.,The expression $0 at line $2 is not compatible with type $1.,The expression $0 at line $2 is not compatible with type $1.
incompatible_types_array,A expressão $0 é incompatível com o tipo $1.,The expression $0 is not compatible with type $1.,The expression $0 is not compatible with type $1.
invalid_case_type_full,O caso $0 na linha $1 é incompatível com o tipo $2.,The case expression $0 at line $1 is not compatible with type $2.,The case expression $0 at line $1 is not compatible with type $2.
invalid_case_type,O caso $0 é incompatível com o tipo $1.,The case expression $0 is not compatible with type $1.,The case expression $0 is not compatible with type $1.
function_no_return,A função $0 não possui um comando de devolução acessível. Toda função deve ter ao menos um comando 'devolva' no seu corpo principal.,The function $0 does not have a reacheable return command. Every function must have at least one return command in its main body.,The function $0 does not have a reacheable return command. Every function must have at least one return command in its main body.
invalid_array_literal_type_full,Erro na linha $0: a expressão $1 não resulta em um tipo compatível.,Error at line $0: the expression $1 does not result in a compatible type.,Error at line $0: the expression $1 does not result in a compatible type.
